Наименование материала,Тип материала,Изображение,Цена,Количество на складе,Минимальное количество,Количество в упаковке,Единица измерения
Гранулы белый 2x2,1,,47680.00,76,8,7,л
Нить серый 1x0,2,,27456,978,42,1,м
Нить белый 1x3,3,,2191,406,27,8,м
Нить цветной 1x1,2,\materials\image_5.jpeg,8619,424,10,3,г
Нить цветной 2x0,2,,16856.00,395,26,2,м
Краска синий 2x2,2,,403.00,334,48,6,л
Нить синий 0x2,3,,7490,654,10,9,м
Гранулы серый 2x2,1,,15478.00,648,17,7,л
Краска синий 1x2,2,,44490.00,640,50,2,л
Нить зеленый 2x0,2,\materials\image_10.jpeg,28301.00,535,45,5,м
Гранулы синий 1x2,1,,9242,680,6,3,кг
Нить синий 3x2,3,,10878,529,13,1,м
Краска белый 2x2,2,\materials\image_3.jpeg,29906.00,659,35,1,л
Краска зеленый 0x3,2,,24073,50,48,2,л
Нить зеленый 2x3,3,,20057.00,649,25,7,г
Краска белый 2x1,2,,3353,790,8,2,л
Нить серый 2x3,3,,22452,431,40,1,г
Гранулы серый 3x2,1,,29943,96,9,5,л
Краска серый 3x2,2,,55064.00,806,50,3,л
Гранулы белый 0x3,1,,7183.00,538,11,3,кг
Краска цветной 1x1,2,,43466,784,22,3,л
Гранулы белый 1x0,1,,27718,980,41,3,кг
Краска серый 0x2,2,,33227,679,36,3,кг
Гранулы серый 3x3,1,,15170.00,2,38,5,л
Краска серый 3x0,2,,19352,341,38,7,кг
Гранулы синий 2x1,1,\materials\image_2.jpeg,231,273,17,9,л
Гранулы синий 0x2,1,,41646.00,576,36,9,л
Нить цветной 1x0,3,,24948,91,38,5,г
Краска зеленый 2x2,2,,19014.00,752,36,2,кг
Краска цветной 1x3,2,,268.00,730,5,9,кг
Краска серый 2x0,2,,35256,131,22,2,л
Нить зеленый 2x1,3,,34556.00,802,16,6,м
Краска цветной 0x3,2,,3322,324,9,10,л
Нить белый 2x3,3,,10823.00,283,41,3,г
Гранулы синий 3x0,1,,16665,411,8,1,кг
Гранулы синий 1x3,1,,5668,41,30,8,л
Нить цветной 2x1,2,,7615,150,22,3,м
Гранулы серый 3x0,1,\materials\image_7.jpeg,702.00,0,5,4,л
Краска синий 3x0,2,,38644.00,523,42,7,л
Нить зеленый 0x0,2,,41827.00,288,43,8,м
Гранулы белый 1x2,1,,8129,77,46,4,л
Краска белый 3x0,2,,51471,609,48,5,кг
Краска цветной 0x1,2,,54401.00,43,8,6,л
Нить серый 1x1,3,,14474,372,22,5,м
Краска синий 2x1,2,,46848,642,29,9,л
Нить серый 3x0,3,,29503,409,19,1,м
Краска зеленый 3x3,2,,27710.00,601,32,6,л
Краска синий 2x0,2,,40074,135,50,7,л
Гранулы синий 2x3,1,,53482.00,749,45,2,л
Нить синий 0x3,2,,32087,615,22,8,м
Нить синий 3x3,3,,45774,140,12,7,г
Краска зеленый 2x3,2,,44978.00,485,8,2,л
Нить синий 3x0,3,,44407,67,23,10,м
Гранулы серый 2x1,1,,50339.00,779,44,7,кг
Краска зеленый 0x1,2,,30581,869,7,2,л
Краска синий 0x0,2,,18656.00,796,29,8,кг
Краска серый 2x1,2,,46579,706,45,5,л
Нить белый 0x1,3,,36883.00,101,43,10,м
Гранулы зеленый 1x2,1,,45083,575,15,9,л
Краска серый 0x1,2,,35063.00,768,27,2,л
Гранулы цветной 0x1,1,,24488.00,746,50,3,л
Гранулы белый 3x1,1,,43711,995,27,8,л
Нить зеленый 0x2,3,,17429,578,20,2,м
Гранулы зеленый 0x2,1,,38217,206,34,4,л
Краска цветной 1x2,2,,47701,299,50,10,л
Краска зеленый 1x0,2,,52189,626,17,8,кг
Гранулы серый 0x0,1,,16715.00,608,12,5,л
Гранулы синий 0x3,1,,45134,953,48,5,кг
Краска цветной 2x1,2,,1846,325,45,1,л
Нить синий 2x3,2,,43659,10,21,5,м
Нить синий 2x1,2,,12283,948,13,9,г
Гранулы белый 1x1,1,,6557.00,93,11,4,л
Краска синий 1x3,2,,38230,265,17,6,кг
Краска зеленый 3x0,2,\materials\image_1.jpeg,20226.00,261,7,2,л
Нить зеленый 1x0,3,,8105.00,304,43,9,г
Краска цветной 0x2,2,,2600.00,595,38,7,л
Нить синий 3x1,2,,4920,579,48,7,м
Краска зеленый 0x2,2,,39809,139,23,9,л
Краска синий 3x3,2,,46545,740,24,6,кг
Краска зеленый 1x1,2,\materials\image_6.jpeg,40583,103,34,2,кг
Краска цветной 2x3,2,,46502,443,46,9,л
Нить цветной 3x0,3,,53651.00,989,14,1,м
Гранулы серый 2x3,1,,47757.00,467,28,6,л
Краска белый 1x0,2,,3543,95,6,6,л
Гранулы серый 3x1,1,,10899,762,6,10,кг
Гранулы серый 2x0,1,\materials\image_8.jpeg,8939,312,21,3,кг
Нить белый 0x2,3,,29271.00,43,19,4,г
Гранулы зеленый 1x1,1,\materials\image_4.jpeg,46455.00,10,19,4,л
Нить серый 0x2,2,\materials\image_9.jpeg,45744.00,504,10,3,м
Гранулы белый 0x2,1,,9330.00,581,40,2,л
Нить цветной 3x2,3,,2939,831,46,3,м
Гранулы белый 3x0,1,,50217,208,7,6,л
Нить серый 1x2,3,,30198.00,292,30,1,м
Краска белый 0x1,2,,19777,423,47,7,л
Гранулы цветной 0x3,1,,1209,723,44,7,кг
Нить серый 1x3,2,,32002,489,25,1,г
Гранулы белый 2x3,1,,32446,274,8,4,л
Краска зеленый 3x1,2,,32487,657,19,10,л
Гранулы цветной 3x2,1,,28596.00,32,45,1,л
Нить белый 2x0,2,,46684,623,23,2,м
